Blog	following	worth	personal	earlier	act	anyway	loud	starting	bill	apart	woman	son	history	shot	feet	main	musical	missing	performance	however	friday	pick	mostly	guys	opening	recently	dog	phone	tom	present	punk	title	quality	yesterday	film	view	energy	saying	turns	caught	evening	stuck	type	y	means	london	social	river	singing	due	beyond	possible	seemed	funny	reading	brothers	usually	wonderful	f	itself	albums	share	dancing	needed	tomorrow	key	bed	understand	fresh	fans	wall	asked	aren	built	alive	lead	l	tried	popular	saturday	electric	heads	seeing	bright	large	happened	mountain	noise	company	august	wrote	joy	wind	theme	throughout	create	previous	awesome	themselves	classic	nights	lights	starts	bear	brown	english	june	wants	festival	hits	flying	perhaps	recent	lady	towards	himself	weird	september	important	public	add	birthday	changed	closer	fit	huge	poor	meet	father	hair	quickly	solo	g	current	sex	smith	tree	brought	meant	photo	happen	stories	copy	college	van	building	clean	quick	internet	george	parts	seven	leaving	fair	sister	fight	robert	shit	spend	greatest	added	magic	ghost	truly	jack	dreams	holding	heaven	plays	pay	crowd	bottom	learn	problem	april	date	kept	ep	audience	continue	ends	ain	floor	thoughts	station	human	tune	certain	business	collection	longer	review	various	golden	despite	question	action	plan	animal	totally	giving	food	reasons	system	peter	february	snow	brother	july	debut	season	pieces	lucky	catch	nature	scott	ended	camera	fuck	hill	million	acoustic	co	december	hall	buy	memories	worked	voices	usual	features	members	christmas	v	smile	indie	lack	non	using	fantastic	round	october	spirit	letter	keeping	missed	link	secret	putting	enjoyed	studio	steve	total	older	gives	billy	falling	eventually	amount	definitely	soft	driving	serious	simply	era	met	entire	joe	imagine	liked	ice	streets	inspired	concert	tired	beauty	color	speak	jones	women	pure	choice	series	november	jam	america	michael	likely	nobody	setting	peace	folk	cry	difficult	possibly	section	w	doubt	grow	drums	island	material	names	cross	south	certainly	picked	mid	underground	mike	normal	queen	hoping	seriously	paper	drop	grand	although	afternoon	miles	hopefully	figure	surprise	cd	moments	ok	general	matt	lonely	hotel	whether	slightly	area	edge	pass	land	process	safe	easily	vocals	pictures	north	leaves	holiday	press	weather	spot	bird	led	anymore	fell	example	vs	lee	nowhere	guitars	covers	ray	particular	calling	hi	similar	store	nick	rare	wine	drum	minor	recorded	string	brain	sign	featured	nearly	recording	biggest	onto	expect	wanna	hop	tears	richard	everybody	mention	service	learned	tiny	among	happens	female	level	featuring	mood	information	standing	ground	bass	pre	breaking	damn	perfectly	opportunity	apparently	weren	drugs	brian	brings	coast	rough	event	arms	lake	burning	brand	size	highly	books	empty	beats	jazz	rose	ball	ii	several	except	orange	table	interview	january	answer	regular	ideas	surprised	east	rolling	odd	included	career	began	trouble	begin	smart	ryan	interest	somehow	sitting	absolutely	planet	incredible	points	growing	bunch	natural	eat	chris	glad	glass	society	california	hearts	dirty	mouth	production	label	excellent	ocean	fourth	period	hurt	kiss	attack	burn	dropped	member	support	uk	frank	rhythm	obvious	hearing	focus	sonic	garage	honest	movement	build	hip	became	dave	followed	hang	promise	image	turning	site	cannot	los	managed	finished	finding
www.doginasweater.com Live Show Review Archive	4	25	5	7	30	0	14	5	12	2	1	2	2	0	6	14	11	8	50	1	8	2	44	40	19	11	10	3	7	0	39	1	11	1	2	5	6	7	14	11	38	13	11	4	10	0	0	11	31	12	3	16	79	25	2	6	18	0	3	4	23	1	6	5	0	2	3	3	1	17	3	3	10	8	5	14	0	4	11	5	6	5	67	4	19	8	5	21	7	2	7	5	2	1	6	5	8	28	9	14	6	10	1	5	5	3	0	2	32	9	3	6	20	4	5	11	24	2	9	1	5	2	10	6	10	14	2	2	2	5	2	43	1	6	2	2	1	7	3	46	7	2	3	4	4	3	8	4	2	0	12	7	2	7	3	1	1	45	4	7	18	0	3	5	1	0	7	0	18	4	136	25	0	6	0	1	9	12	19	4	1	3	8	1	3	1	2	5	11	2	9	12	9	6	21	5	5	6	7	9	5	6	2	0	3	1	1	4	1	11	2	5	0	17	2	5	19	7	7	36	4	6	2	1	33	9	0	9	8	18	2	33	7	1	5	17	8	14	2	25	1	0	0	3	5	15	1	1	9	30	4	4	6	32	3	2	0	2	6	49	0	6	5	3	3	4	56	5	12	14	0	2	2	11	5	2	0	1	0	5	1	10	5	0	9	0	0	12	3	12	1	4	1	5	14	13	5	8	5	26	0	31	4	6	5	23	4	8	2	8	5	2	7	13	1	1	6	9	6	2	33	2	8	6	5	4	6	4	0	9	3	10	12	3	4	1	2	1	12	58	1	7	3	0	2	0	13	2	7	15	3	0	1	3	1	10	9	8	16	2	5	12	6	0	5	14	12	3	14	7	10	7	7	31	9	3	1	15	3	7	1	4	0	4	5	1	3	3	6	13	15	3	4	1	22	2	32	1	4	63	6	4	35	5	9	9	1	4	2	11	1	0	4	12	5	8	10	5	5	5	2	1	0	0	7	1	12	0	0	2	18	1	15	2	5	5	12	6	2	5	4	5	3	2	12	10	10	10	2	1	3	14	6	1	1	12	0	1	3	0	4	7	1	8	12	4	1	2	7	0	1	2	3	9	4	1	0	7	6	23	3	3	27	16	3	1	7	0	0	6	2	3	0	7	2	2	0	9	9	3
One Base on an Overthrow	1	20	1	12	6	62	4	8	5	3	1	5	9	1	7	7	0	5	0	0	6	9	20	27	3	4	0	2	3	4	21	6	11	3	7	3	0	11	3	8	0	9	29	5	13	8	1	1	8	6	2	6	7	18	6	6	11	2	3	10	6	0	0	0	5	4	1	3	2	2	4	6	6	1	2	10	2	10	0	7	3	1	10	2	0	9	8	23	0	1	7	3	0	2	2	1	2	6	5	1	1	7	7	0	1	0	1	5	1	6	1	2	1	4	9	4	13	1	4	3	0	3	3	6	4	6	4	3	0	2	3	11	7	2	1	1	0	3	5	6	2	2	27	3	0	3	7	2	4	0	6	8	6	2	0	1	5	50	3	6	5	1	4	2	2	4	3	0	6	5	6	4	1	10	4	2	5	22	2	1	3	6	11	1	2	0	3	1	0	7	3	13	0	4	3	0	9	0	0	26	4	2	1	2	7	0	0	1	0	1	1	5	2	4	0	4	21	10	42	0	5	3	2	0	1	20	0	3	7	9	2	3	0	0	1	15	4	5	5	0	0	4	0	0	1	8	3	1	8	0	5	3	27	8	4	2	5	8	3	11	1	7	3	1	9	1	2	7	5	14	7	3	1	2	1	0	5	0	0	0	0	3	1	0	1	0	2	4	19	2	0	2	2	0	2	3	5	10	2	6	2	2	5	5	1	4	12	2	5	8	1	4	4	4	7	8	9	67	2	3	4	11	1	52	1	0	2	6	0	2	2	4	5	3	2	1	1	0	6	10	3	0	3	0	7	2	8	0	1	9	2	1	3	0	4	6	9	2	4	2	2	6	21	2	1	9	3	5	29	0	5	5	3	2	10	2	8	3	5	2	0	1	9	10	1	1	2	6	6	0	8	1	1	2	12	3	13	2	4	8	4	0	12	7	2	4	0	0	4	0	1	1	5	1	3	0	1	3	3	1	0	1	0	0	22	3	0	5	0	1	3	1	1	3	0	2	4	0	0	2	0	3	0	6	8	3	1	5	1	1	2	44	0	1	4	4	0	2	7	5	2	10	1	20	4	1	0	0	1	4	0	3	4	2	2	2	0	3	9	2	1	5	4	0	0	0	1	3	6	1	3	1	0	0	3	0	0	6	5	2
Doginasweater's Music Reviews (And Other Horseshit)	3	15	4	2	6	0	4	2	0	2	1	2	3	4	1	8	4	2	2	1	2	4	4	8	1	5	2	0	2	0	22	41	5	0	2	1	2	4	2	2	0	9	7	1	1	0	0	3	4	2	2	5	2	0	1	4	4	0	0	0	6	0	0	2	0	5	2	1	2	10	1	0	5	4	1	2	0	0	4	0	1	1	10	0	0	1	2	5	1	1	2	4	0	2	2	0	3	6	1	9	3	0	3	2	0	0	0	4	3	4	0	3	9	0	3	4	10	1	3	0	1	0	1	1	1	4	1	1	2	3	1	15	0	1	2	4	3	1	0	4	2	0	5	6	9	2	6	1	2	0	7	31	0	5	0	2	2	28	0	3	2	1	0	1	0	1	1	0	6	1	2	0	0	3	0	1	0	21	1	3	2	4	1	0	1	1	1	2	1	6	3	12	2	10	8	1	0	3	0	24	1	0	1	2	0	0	0	0	0	5	2	0	1	0	2	0	2	4	3	1	1	2	0	0	0	12	0	2	5	1	3	4	2	0	0	21	2	3	0	11	1	0	1	3	3	2	0	3	2	2	6	2	8	2	3	3	1	2	2	19	0	6	0	2	11	0	8	2	1	5	0	1	1	3	0	0	3	2	1	0	0	1	5	0	0	0	1	10	5	0	2	4	2	1	4	0	0	4	1	4	0	12	0	2	0	10	5	6	0	1	0	0	2	1	1	1	1	2	0	0	4	2	3	2	1	4	1	3	0	0	2	10	7	1	2	0	1	1	4	16	0	2	1	0	0	1	3	0	1	3	0	2	3	0	3	4	4	0	0	2	0	4	8	2	2	0	1	1	21	3	8	4	8	16	8	2	1	7	1	1	3	0	0	2	0	0	1	1	1	2	3	1	1	2	0	0	1	4	3	16	4	0	9	3	4	1	0	5	2	0	0	0	0	0	1	4	1	2	1	0	1	0	0	0	1	3	1	0	0	0	2	2	5	3	1	3	3	1	1	2	1	4	0	0	6	2	6	0	0	2	1	4	0	4	2	2	0	0	1	3	1	3	4	10	5	1	2	1	2	0	1	2	4	2	0	0	2	0	1	8	0	1	9	7	0	0	1	0	1	2	1	0	0	0	1	0	0	1	1	1
IoTube     :)	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	2	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	5	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eli Jace | The Mind Is A Terrible Thing To Paste	10	5	13	5	21	1	1	8	5	10	10	4	13	18	11	16	19	9	28	4	4	7	25	4	28	5	9	3	5	6	31	21	2	0	18	8	25	5	10	6	6	13	5	3	6	0	4	11	13	3	15	2	8	0	7	1	3	1	2	7	29	10	11	4	1	46	3	7	5	16	12	11	2	11	5	12	8	6	7	13	6	8	8	9	11	6	10	31	6	13	6	2	10	2	20	11	17	1	11	23	5	18	15	1	1	6	11	14	12	13	2	0	12	1	2	24	9	9	6	5	3	6	8	7	6	4	3	5	5	22	9	23	1	14	3	4	2	12	8	36	4	9	2	5	3	0	7	20	12	2	3	12	6	2	2	3	0	13	3	14	13	9	11	7	8	7	8	6	22	3	47	6	2	1	13	3	19	18	36	11	18	4	10	9	5	8	8	6	10	14	5	58	6	8	2	6	2	2	7	2	6	5	2	1	3	7	3	4	9	28	22	8	7	4	6	5	13	4	12	4	1	18	5	4	5	1	2	11	6	11	2	15	1	8	7	6	9	5	8	0	4	9	8	8	5	2	1	6	7	0	15	7	15	6	10	5	17	10	1	6	12	10	3	5	14	2	8	0	8	1	4	7	1	8	3	3	17	3	14	6	17	2	13	5	8	14	9	1	9	6	8	10	4	6	3	9	3	6	6	37	5	5	3	6	7	2	7	10	7	8	5	0	2	2	5	15	3	0	4	7	2	4	13	1	8	3	5	8	8	1	2	4	10	8	7	4	3	3	12	38	3	7	9	0	6	1	7	1	4	10	16	2	2	4	2	24	8	4	1	2	6	5	0	10	4	2	38	1	14	3	15	1	5	12	15	6	22	3	12	17	5	3	7	1	2	3	6	8	2	6	6	5	16	3	11	11	60	4	5	6	8	5	3	4	7	8	9	2	1	6	6	4	9	1	1	1	11	7	20	0	7	24	2	1	6	12	2	10	9	2	2	3	1	3	5	2	1	15	14	1	1	0	15	1	8	9	2	2	3	4	7	5	6	2	8	0	5	7	7	5	6	3	9	2	5	12	17	5	2	3	6	10	8	5	5	6	6	11	4	6	7	14	4	2	5	8	15	7	3	5	3	5	7	6	3	3	6	0	8	8
My Name Is Blue Canary	17	7	21	9	7	26	19	17	2	0	4	7	5	10	9	7	9	12	59	7	6	17	11	59	16	14	10	20	5	6	0	12	4	2	5	13	14	39	8	14	17	21	6	18	13	3	1	0	23	15	3	5	38	68	15	2	16	12	4	9	3	15	11	40	6	9	1	19	3	38	9	89	11	1	13	8	3	23	7	1	11	11	12	2	6	32	7	11	7	2	10	1	4	16	8	4	28	32	19	6	4	8	7	1	1	1	3	5	0	3	3	12	6	10	7	32	14	1	9	8	11	82	14	6	12	11	8	9	1	6	16	45	2	3	1	0	1	22	20	6	12	7	10	1	1	9	3	1	1	2	19	5	6	0	0	1	1	17	9	2	42	1	0	16	0	3	12	2	9	9	105	3	5	4	13	6	24	0	79	7	4	2	22	5	1	24	15	5	14	3	24	3	6	1	14	18	6	7	0	47	13	10	6	3	1	18	12	0	0	2	5	4	8	8	1	14	25	47	8	2	3	12	1	5	19	11	16	12	5	15	7	30	6	0	2	1	7	4	13	11	16	13	0	2	8	12	1	5	6	15	2	0	9	6	2	0	4	37	10	21	1	11	8	3	8	12	20	25	7	19	8	3	0	17	6	1	0	2	0	4	5	6	10	9	1	0	1	4	2	7	1	3	1	5	11	13	3	4	1	17	4	6	5	6	4	14	16	5	1	13	6	2	4	12	5	1	0	0	6	2	6	20	13	9	13	2	4	0	2	13	18	22	9	6	5	0	1	0	4	14	31	2	0	3	2	12	30	2	8	9	4	9	4	0	4	15	2	1	13	6	6	4	18	2	8	1	76	4	14	3	13	20	11	22	21	2	9	8	0	0	1	0	7	12	1	11	13	11	2	1	14	5	5	1	49	4	78	10	4	61	10	10	32	14	4	1	1	3	0	4	11	1	5	4	2	5	3	3	11	1	12	7	0	31	31	2	8	4	5	12	5	1	11	0	3	24	15	3	12	11	12	1	7	2	3	30	16	30	1	2	3	13	1	7	4	11	5	0	1	1	1	6	3	8	17	0	2	3	3	7	2	4	11	20	3	0	5	17	6	28	1	0	5	6	0	3	2	7	1	25	4	3	5	2	2	0	6	20	22	2
The Jeopardy of Contentment	4	19	8	12	1	3	3	17	6	3	7	5	1	3	3	5	13	12	5	12	43	10	9	9	38	29	0	2	7	4	13	18	7	2	4	3	7	1	3	6	3	1	7	11	5	1	5	5	9	9	5	3	10	1	10	8	11	1	11	0	147	5	2	5	8	0	2	7	0	12	0	3	24	9	0	8	2	2	7	34	5	5	13	2	2	2	16	1	1	8	6	4	2	6	6	1	19	8	9	10	2	1	5	24	0	2	12	1	15	2	0	2	22	9	9	1	3	15	7	0	1	3	3	3	6	14	1	2	17	0	12	46	2	1	2	23	0	6	1	0	2	2	11	2	11	2	2	3	3	2	3	1	3	3	0	4	6	9	0	2	5	1	4	5	0	3	3	9	8	0	1	1	0	2	8	8	1	13	1	9	4	0	0	3	0	1	7	2	1	2	6	10	3	1	4	0	3	2	5	2	7	1	3	0	2	6	1	9	8	46	4	3	7	16	3	8	5	0	12	4	1	8	4	5	15	6	0	0	2	1	1	7	1	2	2	27	1	2	1	50	0	14	3	0	4	4	4	2	11	14	3	2	6	5	6	4	1	1	4	41	10	4	6	0	4	0	11	1	4	9	0	4	2	50	4	1	2	2	2	3	2	2	7	9	5	1	0	7	0	2	0	6	2	4	2	0	1	12	6	5	1	2	0	0	1	20	2	2	1	3	3	0	1	6	0	4	1	48	3	2	9	1	8	5	3	10	3	75	1	5	2	1	13	5	1	3	2	0	6	35	2	4	2	1	4	1	5	4	0	1	8	2	0	4	3	3	3	2	1	1	0	4	3	6	1	2	1	0	9	0	0	1	2	5	10	5	2	12	0	17	0	1	0	8	2	2	2	0	4	6	4	1	2	0	1	1	2	3	0	4	0	2	3	3	12	2	3	6	0	2	4	4	3	2	2	23	0	1	1	1	2	3	4	0	3	1	1	1	6	1	4	3	5	0	1	7	5	9	0	1	0	2	5	1	3	1	14	5	3	4	3	3	2	1	28	5	2	1	1	0	1	3	9	11	6	7	3	2	2	1	0	4	0	6	4	3	10	1	0	15	5	4	6	6	0	2	19	0	3	1	0	1	0	2	4	1	3	2	0	2
Boggle Me Thursday	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	152	0	0	230	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Bunker	1	4	12	8	3	1	5	4	0	0	5	4	5	8	1	2	13	0	32	22	1	4	8	10	7	5	7	0	6	4	5	18	5	3	170	0	4	8	8	2	4	3	4	2	2	3	1	11	4	3	7	4	5	1	3	9	3	2	6	6	34	3	0	2	1	5	1	6	4	10	7	3	9	2	2	18	1	4	5	1	1	2	4	0	2	1	1	1	3	2	6	1	5	2	20	0	10	10	5	30	1	1	13	0	1	1	5	1	0	5	3	13	19	3	2	19	3	0	3	4	6	0	4	7	5	17	2	4	3	1	3	6	0	3	2	0	1	10	1	1	1	7	3	0	0	3	2	7	4	1	7	0	1	0	0	9	4	3	2	2	4	1	1	55	5	2	2	2	15	2	3	1	2	2	0	5	1	6	9	1	5	3	1	2	0	10	0	3	2	3	0	59	14	1	0	8	11	0	3	6	8	1	1	9	8	1	1	1	0	8	4	2	2	2	4	6	3	5	2	2	0	2	7	5	0	7	3	6	2	11	11	4	0	0	2	7	4	2	7	26	1	1	1	1	0	3	2	0	4	5	8	4	3	3	10	0	0	6	5	13	1	0	4	16	4	2	23	3	1	4	2	2	5	7	4	5	3	2	7	1	10	7	13	2	5	4	11	1	0	5	0	4	0	12	5	4	1	7	4	6	0	9	2	4	0	21	0	3	0	4	2	1	2	3	0	3	4	7	0	0	2	0	5	1	4	1	2	6	0	3	1	3	0	2	2	6	3	0	2	29	1	2	0	8	7	0	0	0	3	2	0	4	2	3	3	2	0	4	4	2	0	2	2	0	10	1	5	0	0	2	1	1	2	3	2	2	1	12	0	1	4	2	6	4	2	3	0	0	6	2	15	16	8	2	0	2	9	2	1	5	6	4	6	3	0	3	9	0	3	2	0	2	4	3	3	9	1	1	4	9	4	0	12	2	2	0	3	2	0	0	2	2	4	1	0	2	1	29	1	1	1	5	3	8	2	2	10	11	2	4	1	10	1	2	1	3	1	1	0	0	1	1	13	1	12	0	0	2	2	0	0	2	2	1	2	0	3	4	2	6	0	1	0	6	1	2	2	4	3	0	0	3	0	2	1	0	1	1	1	1
Mystic Chords Of Memory	0	3	0	0	3	0	3	0	1	5	13	4	1	5	3	5	0	4	1	0	2	1	0	1	0	0	4	2	4	1	1	21	0	0	0	6	1	2	1	0	0	0	0	1	0	27	1	18	3	1	3	0	0	4	0	5	0	12	1	0	0	0	6	2	1	0	2	1	0	2	0	0	0	1	7	0	5	1	0	2	2	0	0	3	0	0	19	1	5	0	0	1	0	2	0	0	0	0	1	0	7	8	1	1	9	0	4	3	33	1	2	0	0	4	0	1	1	4	0	4	0	4	1	6	0	0	1	2	2	1	1	1	3	0	3	3	2	1	0	0	0	0	0	0	8	1	0	0	0	0	0	4	3	2	6	8	0	2	0	0	0	1	7	0	2	6	2	10	0	0	0	0	4	0	0	0	0	0	77	0	0	9	0	0	4	3	9	0	0	0	1	0	2	10	0	0	1	0	7	0	1	0	0	8	0	0	0	2	4	0	1	1	11	0	0	0	0	0	2	6	0	1	1	0	11	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	4	1	1	0	2	0	0	6	1	0	6	5	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	1	0	1	2	4	0	0	4	1	0	1	8	2	0	1	0	6	10	3	1	0	0	2	3	1	6	0	0	0	3	3	3	0	3	0	0	1	5	0	0	0	2	1	0	0	2	0	1	0	1	0	1	0	0	1	2	0	0	1	0	0	6	2	0	0	1	2	0	4	0	0	0	0	0	3	2	10	0	1	0	5	0	0	1	0	5	2	3	3	0	0	0	2	2	0	1	1	0	9	4	1	1	2	2	4	0	0	107	0	1	0	14	1	7	1	5	0	1	4	2	1	4	0	0	0	1	0	2	10	1	0	1	4	0	0	0	0	6	0	2	0	0	0	9	0	2	1	0	5	0	3	4	9	3	1	10	0	0	4	0	80	3	1	1	1	0	6	1	0	0	0	0	4	1	0	3	0	0	1	0	0	0	0	0	1	0	1	10	0	1	2	4	2	6	1	0	0	0	6	0	0	0	4	1	5	0	0	0	0	1	4	0	0	0	1	0	2	2	1	1	0	3	0	0	4	1	0	0	0	23	0	0	0
Deadbeat	0	3	1	9	3	3	0	7	9	3	4	3	6	2	3	2	2	6	1	13	7	2	0	11	2	5	3	1	0	7	4	0	4	1	1	2	6	3	2	2	11	2	7	2	9	30	4	1	9	0	0	2	16	7	1	0	4	1	1	4	4	2	18	8	0	4	6	0	3	1	6	14	0	2	3	1	1	8	3	12	0	3	1	1	3	3	0	1	6	15	11	3	4	3	2	2	1	0	4	3	2	1	2	2	2	0	10	2	7	5	1	1	1	0	3	4	0	9	3	6	3	9	7	4	7	12	7	7	1	7	2	0	6	2	3	1	7	11	19	6	1	4	4	2	3	3	0	6	2	7	1	0	8	10	2	4	0	10	4	6	1	2	0	0	1	1	1	0	1	9	9	2	4	10	18	3	8	1	8	3	1	0	1	1	4	3	5	3	6	7	9	36	0	1	7	7	5	7	1	0	6	10	1	5	2	24	3	5	16	2	2	1	5	1	1	2	2	10	4	2	4	0	3	11	4	14	0	11	5	7	0	3	11	1	7	1	6	1	4	4	5	11	3	3	2	6	5	2	7	5	0	1	1	9	1	3	1	2	2	4	2	2	4	10	2	11	0	4	1	8	5	8	0	0	4	0	0	2	2	5	2	3	1	9	5	1	1	5	11	0	1	0	2	3	0	2	2	4	6	3	0	1	2	5	6	11	0	5	1	1	0	0	1	3	10	0	0	30	1	5	3	1	1	1	3	6	5	2	0	3	3	0	2	1	10	2	2	2	2	1	11	7	0	2	1	0	2	0	4	3	2	3	0	0	1	1	5	0	1	0	0	1	0	0	2	2	2	0	1	1	1	2	2	2	0	3	8	0	2	0	2	1	3	2	8	1	0	1	3	1	3	0	1	3	2	8	5	1	0	0	0	2	2	7	7	3	0	0	2	2	1	0	5	0	3	2	0	4	0	0	1	3	1	1	5	4	6	36	5	1	0	1	0	2	3	4	1	4	0	6	1	2	0	4	4	7	3	6	0	1	8	4	1	4	1	0	3	8	0	0	1	1	1	1	5	1	0	4	7	0	1	0	3	2	15	13	0	6	2	1	0	0	6	6	1	6	0	10	7	9	5	0	3	2	0	0	2	4	6	3
.	20	28	21	51	192	14	14	11	36	10	3	2	20	7	2	6	24	5	28	33	23	8	14	30	44	90	44	3	7	36	105	70	19	7	18	5	23	14	20	10	29	4	2	14	14	29	25	11	23	43	19	28	19	18	16	4	13	7	17	56	31	9	4	7	26	20	13	13	21	80	13	5	19	16	16	58	15	7	10	32	34	15	21	21	13	21	17	72	10	18	40	13	5	4	16	18	36	20	21	90	9	4	7	5	2	7	33	6	38	28	15	92	74	4	4	8	34	16	34	12	9	11	10	26	15	21	4	4	15	12	24	55	22	19	2	3	4	18	5	23	10	4	21	14	1	17	32	17	12	0	32	21	5	12	11	11	9	15	5	11	9	32	9	19	8	19	8	5	37	9	22	10	20	6	31	46	3	277	14	14	15	1	12	10	3	10	184	68	7	128	10	73	12	14	40	20	1	5	3	15	11	18	6	2	7	18	1	6	37	145	23	27	10	16	5	35	14	3	16	4	2	33	41	9	16	77	10	17	13	1	39	37	6	0	6	156	4	17	10	5	9	6	14	4	11	13	25	10	10	5	58	22	5	20	13	7	4	18	24	24	28	15	13	17	22	15	51	14	25	5	0	6	30	3	7	16	14	10	2	7	15	15	33	8	15	19	6	47	2	13	1	14	1	7	6	19	51	20	4	45	3	29	8	4	16	59	8	42	27	34	4	2	8	10	6	10	6	53	7	8	20	6	29	45	37	8	9	30	2	15	16	13	20	7	3	4	31	6	6	129	4	7	21	4	18	4	14	4	25	2	8	12	5	0	14	102	5	3	21	47	9	26	10	9	16	4	40	5	88	15	8	12	17	27	71	11	6	33	4	13	11	2	5	17	10	8	3	66	11	3	22	25	18	12	7	9	88	82	4	7	11	9	31	9	19	5	11	28	2	26	4	20	6	12	2	29	8	4	12	12	2	14	9	10	3	4	4	28	7	11	13	31	9	25	5	13	23	9	14	7	12	14	8	10	16	7	15	3	16	8	6	16	9	10	11	4	3	8	11	9	22	11	53	103	28	2	19	9	7	9	27	4	10	14	27	37	4	39	10	18	16	41	20	4	10	9	3	11	13	11	5	7	5	9	11	4	18	2	8	8
